briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U1042,,chrIII,snR33,SNR33,,-1,142546,142364,SNR33
H/ACA box small nucleolar RNA (snoRNA),"H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U1052, constitutive pseudouridylation of U2 snRNA (LSR1) at position 42, and stress-induced U2 pseudouridylation at position 93",,chrXV,snR81,SNR81,,1,234546,234346,SNR81
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U1056 and small subunit (SSU) rRNA at position U106,,chrXII,snR44,SNR44,,1,856920,856710,SNR44
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2191,,chrVIII,snR32,SNR32,,1,381727,381540,SNR32
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2266; overexpression confers resistance to baking-associated stress,,chrIV,snR84,SNR84,,-1,1493026,1492477,SNR84
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2314,,chrXIII,snR86,SNR86,,-1,763113,762110,SNR86
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2340 and U2345,,chrXV,snR9,SNR9,,-1,408134,407948,SNR9
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2416,,chrXIII,snR11,SNR11,,1,652532,652275,SNR11
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2735 and small subunit (SSU) rRNA at position U466,H/ACA box small nucleolar RNA involved in snoRNA-guided rRNA pseudouridine synthesis as an rRNA pseudouridylation guide,chrIII,snR189,SNR189,,-1,178798,178610,SNR189
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2865,,chrVII,snR46,SNR46,,1,545566,545370,SNR46
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2944,,chrX,snR37,SNR37,,-1,228479,228094,SNR37
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2975,,chrXI,snR42,SNR42,,-1,559366,559016,SNR42
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U776 and small subunit (SSU) rRNA at position U759,,chrV,snR80,SNR80,,-1,52320,52150,SNR80
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U966 and of 5.8S rRNA at position 73,,chrIII,snR43,SNR43,,-1,107712,107504,SNR43
H/ACA box small nucleolar RNA (snoRNA),"H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U990 and small subunit (SSU) rRNA at positions U120, U211, and U302",H/ACA box small nucleolar RNA involved in snoRNA-guided rRNA pseudouridine synthesis as an rRNA pseudouridylation guide,chrXIV,snR49,SNR49,,1,716284,716120,SNR49
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of small subunit (SSU) rRNA at positions U1290 and U1415,,chrXIII,snR83,SNR83,,1,626654,626349,SNR83
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of small subunit (SSU) rRNA at position U1187,,chrXV,snR36,SNR36,,-1,680866,680685,SNR36
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of small subunit (SSU) rRNA at position U999,,chrXV,snR31,SNR31,,-1,842182,841958,SNR31
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); predicted to guide pseudouridylation of small subunit (SSU) rRNA at position 1191,,chrXV,snR35,SNR35,,-1,759529,759326,SNR35
H/ACA box small nucleolar RNA (snoRNA),H/ACA box small nucleolar RNA (snoRNA); predicted to guide pseudouridylation of small subunit (SSU) rRNA at position U1181,,chrXIII,snR85,SNR85,,-1,67938,67768,SNR85
H/ACA small nucleolar RNA (snoRNA),H/ACA small nucleolar RNA (snoRNA); guides pseudouridylation of small subunit (SSU) rRNA at positions U632 and U766,,chrII,snR161,SNR161,,-1,307345,307185,SNR161
Haploid specific endoprotease of a-factor mating pheromone,Haploid specific endoprotease of a-factor mating pheromone; performs one of two N-terminal cleavages during maturation of a-factor mating pheromone; required for axial budding pattern of haploid cells,,chrXVI,YPR122W,AXL1,"Non-essential gene; null mutant displays abnormal heterologous shmoo formation with some broad dumpy projections; null mutant has a decreased mating efficiency, a reduced mating response and defective cell fusion with increased prezygote formation; null mutant has a defect in propheromone processing and displays reduced secretion of Mfa1p; haploid null mutant has increased bipolar and decreased axial budding pattern; null mutant has increased invasive growth, and decreased hyperosmotic stress resistance
",1,785671,782045,AXL1
Haploid-specific gene repressed by a1-alpha2,"Haploid-specific gene repressed by a1-alpha2; turned off in sir3 null strains, absence enhances the sensitivity of rad52-327 cells to campothecin almost 100-fold",Protein whose biological role and cellular location are unknown,chrVII,YGL193C,,,-1,142227,141916,YGL193C
Haze-protective mannoprotein,Haze-protective mannoprotein; reduces the particle size of aggregated proteins in white wines,Putative glucosidase implicated in cell wall organization; localizes to cell periphery and extracellular region,chrXV,YOL155C,HPF1,,-1,31606,28703,HPF1
HDEL receptor,HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins,HDEL sequence-binding protein involved in protein retention in endoplasmic reticulum lumen and ER-to-Golgi vesicle-mediated transport; integral component of ER membrane,chrII,YBL040C,ERD2,,-1,142868,142112,ERD2
Heat shock protein of the Hsp70 family,"Heat shock protein of the Hsp70 family; localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations; ECM10 has a paralog, SSC1, that arose from the whole genome duplication",,chrV,YEL030W,ECM10,,1,96578,94644,ECM10
Heat shock protein regulator,Heat shock protein regulator; binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; role in regulating Hsp90 inhibitor drug sensitivity; GFP-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress,Chaperone-binding ATPase activator involved in protein folding; localizes to both nucleus and cytoplasm,chrXIV,YNL281W,HCH1,,1,108928,108467,HCH1
Heat shock protein that is highly induced upon stress,"Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication",Putative ATPase; involved in protein folding and response to heat shock,chrV,YER103W,SSA4,"Non-essential gene; null mutation elevates sensitivity to ethanol and herbicide 2,4-D; in systematic studies null mutants are defective in polyphosphate accumulation and show decreased cell size
",1,366517,364589,SSA4
Heavy metal ion homeostasis protein,"Heavy metal ion homeostasis protein; facilitates trafficking of Smf1p and Smf2p metal transporters to vacuole where they are degraded; acts as an adaptor protein with Rsp5p in the regulated endocytosis of Smf1p and is itself ubiquitylated by Rsp5p; controls metal ion transport, prevents metal hyperaccumulation, functions in copper detoxification",,chrII,YBR290W,BSD2,"Non-essential gene; null mutant cells accumulate increased amounts of metal (cadmium, cobalt) ions, and show increased metal sensitivity; in systematic studies null mutants show reduced competitive fitness",1,783556,782591,BSD2
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p,DNA helicase involved in telomere maintenance via recombination,chrXII,YLR466W,YRF1-4,,1,1071235,1067087,YRF1-4
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p,DNA helicase involved in telomere maintenance via recombination,chrXII,YLR467W,YRF1-5,,1,1077898,1072508,YRF1-5
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p,DNA helicase involved in telomere maintenance via recombination,chrXIV,YNL339C,YRF1-6,"Non-essential gene; null mutants are sensitive to protein synthesis inbibitor cycloheximide, resistant to heat, show increased biofilm formation and decreased competitive fitness; heterozygous diploid null mutants are haploinsufficent
",-1,6098,371,YRF1-6
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p,DNA helicase involved in telomere maintenance via recombination,chrXVI,YPL283C,YRF1-7,,-1,6007,280,YRF1-7
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p,DNA helicase involved in telomere maintenance via recombination,chrIV,YDR545W,YRF1-1,,1,1531711,1526321,YRF1-1
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p,DNA helicase involved in telomere maintenance via recombination,chrVII,YGR296W,YRF1-3,,1,1090591,1084864,YRF1-3
Helicase encoded by the Y' element of subtelomeric regions,Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p; induced by treatment with 8-methoxypsoralen and UVA irradiation,DNA helicase involved in telomere maintenance via recombination,chrV,YER190W,YRF1-2,,1,576525,571480,YRF1-2
Helicase-like protein encoded within the telomeric Y' element,Helicase-like protein encoded within the telomeric Y' element,Protein whose biological role and cellular location are unknown,chrVIII,YHR218W,,,1,559924,558014,YHR218W
Helicase-like protein encoded within the telomeric Y' element,Helicase-like protein encoded within the telomeric Y' element,,chrII,YBL113C,,,-1,2658,280,YBL113C
Helicase-like protein encoded within the telomeric Y' element,Helicase-like protein encoded within the telomeric Y' element,,chrV,YEL077C,,,-1,4097,264,YEL077C
Helicase-like protein encoded within the telomeric Y' element,Helicase-like protein encoded within the telomeric Y' element; induced by treatment with 8-methoxypsoralen and UVA irradiation; SWAT-GFP and mCherry fusion proteins localize to the nucleus,Protein whose biological role is unknown; localizes to the nucleus,chrVI,YFL066C,,,-1,2615,1437,YFL066C
Helicase-like protein encoded within the telomeric Y' element,Helicase-like protein encoded within the telomeric Y' element; relocalizes from mitochondrion to cytoplasm upon DNA replication stress,Protein whose biological role is unknown; localizes to the mitochondrion in a large-scale study,chrII,YBL111C,,,-1,5009,2907,YBL111C
Heme A:farnesyltransferase,Heme A:farnesyltransferase; catalyzes first step in conversion of protoheme to heme A prosthetic group required for cytochrome c oxidase activity; human ortholog COX10 can complement yeast cox10 null mutant; human ortholog COX10 is associated with mitochondrial disorders,"Putative protoheme IX farnesyltransferase, catalyzes conversion of protoheme to heme A in heme A biosynthesis; localized to mitochondria in high-throughput experiments",chrXVI,YPL172C,COX10,"Non-essential gene; null mutant fails to respire; in large-scale studies, the null mutant shows reduced competitive fitness and chronological lifespan, sensitivity to desiccation, starvation, and oxidative stress, small cell size, increased biofilm formation, and altered resistance to various chemicals
",-1,225741,224353,COX10
Heme a synthase,"Heme a synthase; required for the hydroxylation of heme O to form heme A, an essential prosthetic group for cytochrome c oxidase; oligomerization is required for function",,chrV,YER141W,COX15,"Non-essential gene; null mutant is incapable of respiratory growth on nonfermentable carbon sources and grows slowly on fermentable carbon sources (petite phenotype); null mutant also shows increased frequency of nonfunctional mitochondrial genome (rho- mutations); under competitive growth conditions null mutant is sensitive to oxidative stress caused by hydrogen peroxide; in systematic studies mutants exhibit reduced biofilm formation, decreased competitive fitness and resistance to miconazole",1,454919,453459,COX15
Heme-binding protein,"Heme-binding protein; involved in regulation of cytochrome P450 protein Erg11p; damage response protein, related to mammalian membrane progesterone receptors; mutations lead to defects in telomeres, mitochondria, and sterol synthesis",,chrXVI,YPL170W,DAP1,"Non-essential gene; null mutant accumulates increases amounts of ergosterol precursors lanosterol and episterol; null mutant also exhibits ""petite"" phenotype - slow growth on glucose and no growth with non-fermentable carbon sources, indicating respiratory deficiency; null mutation causes increased sensitivity to azoles and MMS",1,228772,228314,DAP1
Heme-dependent repressor of hypoxic genes,Heme-dependent repressor of hypoxic genes; mediates aerobic transcriptional repression of hypoxia induced genes such as COX5b and CYC7; repressor function regulated through decreased promoter occupancy in response to oxidative stress; contains an HMG domain that is responsible for DNA bending activity; involved in the hyperosmotic stress resistance,Transcription factor that represses expression of hypoxia-induced genes in the presence of oxygen; also represses target genes during osmotic stress,chrXVI,YPR065W,ROX1,,1,680799,679693,ROX1
hEST1A/B (SMG5/6)-like protein,"hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl1p and Esl2p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; ESL1 has a paralog, ESL2, that arose from the whole genome duplication",Protein whose biological role and cellular location are unknown,chrIX,YIL151C,ESL1,,-1,60694,57338,ESL1
hEST1A/B (SMG5/6)-like protein,"hEST1A/B (SMG5/6)-like protein; contributes to environment-sensing adaptive gene expression responses; Esl2p and Esl1p contain a 14-3-3-like domain and a putative PilT N-terminus ribonuclease domain; interacts with Pex14p; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; ESL2 has a paralog, ESL1, that arose from the whole genome duplication",Protein whose biological role is unknown; co-localizes with the peroxisome and localizes to the cytoplasm and nucleus in a large-scale study,chrXI,YKR096W,ESL2,,1,630380,626793,ESL2
Heterotrimeric nascent polypeptide-associated complex beta3 subunit,"Heterotrimeric nascent polypeptide-associated complex beta3 subunit; complex binds ribosomes via its beta-subunits in close proximity to nascent polypeptides; interacts with Caf130p of the CCR4-NOT complex; similar to human BTF3; BTT1 has a paralog, EGD1, that arose from the whole genome duplication",,chrIV,YDR252W,BTT1,Non-essential gene; in systematic studies null mutants show increased resistance to miconazole and decreased utilization of proline as nitrogen source,1,963861,963412,BTT1
Hexameric DNA polymerase alpha-associated DNA helicase A,Hexameric DNA polymerase alpha-associated DNA helicase A; involved in lagging strand DNA synthesis; contains single-stranded DNA stimulated ATPase and dATPase activities; replication protein A stimulates helicase and ATPase activities,,chrXI,YKL017C,HCS1,,-1,407241,405190,HCS1
Hexameric ring ATPase that remodels chromosome axis protein Hop1p,"Hexameric ring ATPase that remodels chromosome axis protein Hop1p; nucleolar component of the pachytene checkpoint, which prevents chromosome segregation when recombination and chromosome synapsis are defective; also represses meiotic interhomolog recombination in rDNA; required for meiotic double-stranded break formation",,chrII,YBR186W,PCH2,,1,602360,600553,PCH2
Hexaprenyl pyrophosphate synthetase,Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis,,chrII,YBR003W,COQ1,"Non-essential gene; null mutant is incapable of respiratory growth on nonfermentable carbon sources and shows reduced rate of necrosis-like cell death under high concentrations of mating pheromone; in systematic studies mutants exhibit elevated sensitivity to miconazole and high concentrations of ethanol, and also show decreased rate of utilization of several carbon and nitrogen sources",1,244230,242809,COQ1
Hexokinase isoenzyme 1,"Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication","Hexokinase; phosphorylates glucose, mannose, and fructose; localized in the cytoplasm but also has minor activity associated with mitochondria",chrVI,YFR053C,HXK1,"Non-essential gene; null mutant shows slightly increased resistance to sirolimus (rapamycin) and decreased competitive fitness; overexpression causes reduced fructose consumption; null mutant is also sensitive to copper and several drugs (bleomycin, camptothecin, fenpropimorph, fluconazole, tunicamycin, mycophenolic acid)
",-1,255049,253592,HXK1
Hexokinase isoenzyme 2,"Hexokinase isoenzyme 2; phosphorylates glucose in cytosol; predominant hexokinase during growth on glucose; represses expression of HXK1, GLK1, induces expression of its own gene; antiapoptotic; phosphorylation/dephosphorylation at Ser14 by kinase Snf1p, phosphatase Glc7p-Reg1p regulates nucleocytoplasmic shuttling of Hxk2p; functions downstream of Sit4p in control of cell cycle, mitochondrial function, oxidative stress resistance, chronological lifespan; has paralog HXK1","Hexokinase, phosphorylates D-hexoses to D-hexose-6-phosphates; involved in cellular metabolism and homeostasis of glucose, fructose and mannose; localized to cytosol, nucleus and mitochondria",chrVII,YGL253W,HXK2,"Non-essential gene; null mutant displays reduced growth rate, decreased replicative lifespan and increased apoptosis; null mutation also causes sensitivity to alkaline pH, acetic acid, fluconazole, but increased resistance to caffeine, camptothecin, bleomycin
",1,25395,23935,HXK2
Hexose transporter,"Hexose transporter; capable of transporting a broad range of substrates including: glucose, fructose, mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily (MFS) transporters; involved in pleiotropic drug resistance",,chrXV,YOL156W,HXT11,,1,26976,25273,HXT11
Hexose transporter with moderate affinity for glucose,"Hexose transporter with moderate affinity for glucose; induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs; HXT5 has a paralog, HXT3, that arose from the whole genome duplication",,chrVIII,YHR096C,HXT5,,-1,296447,294669,HXT5
"High affinity, broad selectivity, nucleoside/nucleobase transporter","High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",Nicotinamide riboside transmembrane transporter; localizes to the vacuole membrane,chrI,YAL022C,FUN26,,-1,110430,108877,FUN26
High affinity Ca2+/Mn2+ P-type ATPase,"High affinity Ca2+/Mn2+ P-type ATPase; required for Ca2+ and Mn2+ transport into Golgi; involved in Ca2+ dependent protein sorting, processing; D53A mutant (Mn2+ transporting) is rapamycin sensitive, Q783A mutant (Ca2+ transporting) is rapamycin resistant; Mn2+ transport into Golgi lumen required for rapamycin sensitivity; mutations in human homolog ATP2C1 cause acantholytic skin condition Hailey-Hailey disease; human ATP2C1 can complement yeast null mutant","Calcium and manganese-transporting ATPase involved in calcium ion transport and homeostasis, manganese ion transport, macroautophagy, and exocytosis; localizes to the Golgi membrane",chrVII,YGL167C,PMR1,"Non-essential gene; null mutant requires inositol for growth and is sensitive to calcium and magnesium ions, alkaline pH, and reducing agents; vacuoles of null mutant have multiple lobes or are fragmented; null mutant has shorter replicative lifespan and reduced mating efficiency, and accumulates excess triglycerides, sterol esters, and calcium ions; in large-scale studies, null mutant displays reduced competitive fitness, desiccation resistance, heat resistance, and freeze-thaw resistance, altered resistance to various chemicals, and poor utilization of several nitrogen sources
",-1,190468,187616,PMR1
High-affinity copper transporter of plasma membrane,High-affinity copper transporter of plasma membrane; mediates nearly all copper uptake under low copper conditions; transcriptionally induced at low copper levels and degraded at high copper levels; protein increases in abundance and relocalizes from nucleus to plasma membrane upon DNA replication stress; human homolog SLC31A1 can complement a yeast ctr1 ctr3 double deletion,"Copper ion transmembrane transporter that has role in copper ion import; localizes to plasma membrane; localizes to nucleus, cytoplasm, and putatively integral to membrane in high-throughput studies",chrXVI,YPR124W,CTR1,"Non-essential gene; null mutant has a decreased rate of vegetative growth; null has a decreased respiratory growth rate that can be rescued by addition of copper sulfate; null mutant displays decreased utilization of various carbon and nitrogen sources and decreased competitive fitness on various carbon sources; null mutant has decreased resistance to various metals, oxidative stress, alkaline pH, desiccation and heat shock; haploinsufficiency results in elevated chromosome instability; homozygous null mutant has a decreased sporulation efficiency; overexpression can result in either inviability or reduced growth rate, abnormal cytoskeleton morphology, and alkaline pH resistance
",1,787428,786208,CTR1
High-affinity copper transporter of the plasma membrane,High-affinity copper transporter of the plasma membrane; acts as a trimer; gene is disrupted by a Ty2 transposon insertion in many laboratory strains of S. cerevisiae,"Transmembrane transporter of copper ions; involved in copper uptake, localized to the plasma membrane",chrXII,YLR411W,CTR3,"Non-essential gene; non-functional in strains derived from S288C due to transposon Ty2 insertion in the promoter region; in strains without Ty2, CTR3 is functionally redundant with CTR1; overexpression causes slow growth",1,947978,947253,CTR3
High-affinity cyclic AMP phosphodiesterase,"High-affinity cyclic AMP phosphodiesterase; component of the cAMP-dependent protein kinase signaling system, protects the cell from extracellular cAMP, contains readthrough motif surrounding termination codon","3',5'-cyclic-AMP phosphodiesterase involved in cAMP-mediated signaling; localizes to nucleus and cytoplasm in high-throughput studies",chrXV,YOR360C,PDE2,"Non-essential gene; null mutant has higher levels of cAMP and shows pleiotropic defects, including increased cell size, sensitivity to osmotic and oxidative stresses, cell wall defects, and inability to survive loss of mitochonrial genome (petite-negative phenotype); in Sigma1278b null mutation prevents invasive growth; overexpression causes slow growth and abnormal budding
",-1,1014821,1013241,PDE2
High-affinity cysteine-specific transporter,High-affinity cysteine-specific transporter; has similarity to the Dal5p family of transporters; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YCT1 is not an essential gene,,chrXII,YLL055W,YCT1,,1,31704,30109,YCT1
High-affinity glucose transporter,"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication",,chrVIII,YHR092C,HXT4,,-1,288811,287081,HXT4
High-affinity glucose transporter,"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication",Glucose transporter; involved in uptake of glucose; localized to plasma membrane,chrIV,YDR342C,HXT7,,-1,1155928,1154216,HXT7
High-affinity glucose transporter,"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication","Hexose transmembrane transporter; also transports glucose, fructose, and mannose; localizes to mitochondria and plasma membrane",chrIV,YDR343C,HXT6,,-1,1161320,1159608,HXT6
High-affinity glucose transporter of the major facilitator superfamily,High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose,"Hexose transmembrane transporter that transports glucose, fructose, and mannose; also has pentose transmembrane transporter activity; localizes to the plasma membrane",chrXIII,YMR011W,HXT2,,1,289704,288079,HXT2
High-affinity glutamine permease,"High-affinity glutamine permease; also transports Leu, Ser, Thr, Cys, Met and Asn; expression is fully dependent on Grr1p and modulated by the Ssy1p-Ptr3p-Ssy5p (SPS) sensor of extracellular amino acids; GNP1 has a paralog, AGP1, that arose from the whole genome duplication","Amino acid transmembrane transporter that localizes to endoplasmic reticulum, mitochondria, cell periphery, and bud neck",chrIV,YDR508C,GNP1,,-1,1468444,1466453,GNP1
High-affinity histidine permease,High-affinity histidine permease; also involved in the transport of manganese ions,"High-affinity L-histidine transmembrane transporter involved in histidine and manganese transport; localizes to cell periphery, plasma membrane, and endoplasmic reticulum",chrVII,YGR191W,HIP1,,1,882231,880420,HIP1
High-affinity inorganic phosphate (Pi) transporter,High-affinity inorganic phosphate (Pi) transporter; also low-affinity manganese transporter; regulated by Pho4p and Spt7p; mutation confers resistance to arsenate; exit from the ER during maturation requires Pho86p; cells overexpressing Pho84p accumulate heavy metals but do not develop symptoms of metal toxicity,Inorganic phosphate transmembrane transporter involved in phosphate ion transport and polyphosphate metabolism; also has manganese ion transmembrane transporter activity and selenite:proton symporter activity involved in the transport of selenite across the plasma membrane; integral component of the plasma membrane,chrXIII,YML123C,PHO84,"Non-essential gene; null mutant fails to grow in low-phosphate medium, does not take up inorganic phosphate, and fails to accumulate polyphosphate; null mutant displays metal resistance; ts mutant has elevated acid phosphatase activity at elevated temperature in the presence of inorganic phosphate; in large-scale studies, null mutant has reduced competitive fitness in a variety of media and has altered resistance to various chemicals
",-1,25800,24037,PHO84
High affinity iron permease,High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress,High-affinity iron transporter of the plasma membrane involved in iron assimilation; also implicated in arsenate transport,chrV,YER145C,FTR1,,-1,461740,460526,FTR1
High-affinity leucine permease,"High-affinity leucine permease; functions as a branched-chain amino acid permease involved in uptake of leucine, isoleucine and valine; contains 12 predicted transmembrane domains; BAP2 has a paralog, BAP3, that arose from the whole genome duplication",,chrII,YBR068C,BAP2,"Non-essential gene; null mutant displays decreased competitive fitness on various synthetic media; null mutant displays reduced uptake of isoleucine, leucine, and valine in a background lacking the general amino acid permease GAP1; homozygous diploid null mutant has increased sporulation efficiency; null mutant has decreased resistance to acid pH and methylmercury chloride; overexpression results in a reduction in vegetative growth rate, and increased cold sensitivity
",-1,375690,373861,BAP2
High-affinity maltose transporter (alpha-glucoside transporter),High-affinity maltose transporter (alpha-glucoside transporter); inducible; encoded in the MAL1 complex locus; broad substrate specificity that includes maltotriose; required for isomaltose utilization,,chrVII,YGR289C,MAL11,,-1,1075813,1073963,MAL11
High affinity methionine permease,High affinity methionine permease; integral membrane protein with 13 putative membrane-spanning regions; also involved in cysteine uptake,,chrVII,YGR055W,MUP1,,1,601141,599417,MUP1
High-affinity nicotinamide riboside transporter,High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity,,chrXV,YOR071C,NRT1,,-1,461276,459480,NRT1
High affinity nicotinic acid plasma membrane permease,High affinity nicotinic acid plasma membrane permease; responsible for uptake of low levels of nicotinic acid; expression of the gene increases in the absence of extracellular nicotinic acid or para-aminobenzoate (PABA),,chrVII,YGR260W,TNA1,,1,1014089,1012485,TNA1
High-affinity plasma membrane H+-biotin (vitamin H) symporter,High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin,,chrVII,YGR065C,VHT1,,-1,619858,618077,VHT1
High-affinity S-adenosylmethionine permease,High-affinity S-adenosylmethionine permease; required for utilization of S-adenosylmethionine as a sulfur source; has similarity to S-methylmethionine permease Mmp1p,,chrXVI,YPL274W,SAM3,,1,24701,22938,SAM3
High-affinity S-methylmethionine permease,High-affinity S-methylmethionine permease; required for utilization of S-methylmethionine as a sulfur source; has similarity to S-adenosylmethionine permease Sam3p,,chrXII,YLL061W,MMP1,,1,19707,17956,MMP1
High affinity sulfate permease,"High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",,chrXII,YLR092W,SUL2,,1,326225,323544,SUL2
